#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-13.964753,1,1.232776
-12.584017,1,1.233562
-20.537305,1,1.23449
-25.559549,1,1.235201
-21.930675,1,1.23591
-27.284329,1,1.236619
-2.216506,1,1.237369
-25.755749,1,1.238072
100.0,1,1.238778
-25.913531,1,1.239587
-26.571168,1,1.240649
-19.308429,1,1.24136
-13.522252,1,1.242191
-26.350245,1,1.242901
-15.459782,1,1.243758
-30.633424,1,1.244461
-20.212798,1,1.245355
-22.199306,1,1.246408
100.0,1,1.24728
-13.701879,1,1.24806
100.0,1,1.248767
-16.11538,1,1.249768
-18.914398,1,1.250473
-17.213376,1,1.251311
-4.361911,1,1.252032
-29.112766,1,1.252747
-18.233386,1,1.253452
-19.602711,1,1.254155
-12.891874,1,1.254919
-27.56948,1,1.255633
-25.502128,1,1.256341
-30.820571,1,1.257042
-29.189674,1,1.257754
-3.28502,1,1.258612
-15.929937,1,1.259526
-30.910948,1,1.260238
-9.271455,1,1.261133
-27.543571,1,1.261847
-10.995565,1,1.262611
-21.113961,1,1.263314
-31.373196,1,1.264018
-25.953619,1,1.264733
-27.273971,1,1.265434
-30.747454,1,1.266136
-17.041096,1,1.266842
-5.347095,1,1.267615
-19.390668,1,1.268325
-15.878862,1,1.269032
-15.611805,1,1.269741
-7.866414,1,1.270462
-25.764632,1,1.271165
-17.629588,1,1.272101
-20.141139,1,1.272813
-11.658374,1,1.273784
-20.915269,1,1.27449
-25.291382,1,1.275195
-29.55264,1,1.275902
-17.366027,1,1.276895
-13.842774,1,1.277604
-33.603799,1,1.278303
-16.216032,1,1.279009
-25.704346,1,1.279717
-12.535595,1,1.28048
-3.761458,1,1.281531
-30.782918,1,1.28224
-28.298124,1,1.282952
-7.526624,1,1.283662
-30.675158,1,1.284367
-6.469437,1,1.285071
-19.956762,1,1.286111
-16.289971,1,1.286819
-16.701265,1,1.287526
-19.965005,1,1.288284
-17.958815,1,1.28904
-27.549646,1,1.289747
-33.116396,1,1.290445
-20.524931,1,1.291147
-29.701803,1,1.291865
-12.45558,1,1.292864
-16.18506,1,1.293579
-28.363466,1,1.294281
-27.027718,1,1.294984
-32.845776,1,1.295697
-18.535207,1,1.296397
-16.829037,1,1.297103
100.0,1,1.297839
-2.471735,1,1.298624
-29.949852,1,1.299339
-16.399867,1,1.300105
-7.049148,1,1.300933
-11.408256,1,1.301734
-17.628117,1,1.302437
-20.747702,1,1.30317
